date,machine_name,region_id,genotype,incubator,sex,status
2016-01-14,ETHOSCOPE_001,1,CS,8,F,OK
2016-01-14,ETHOSCOPE_001,2,CS,8,F,OK
2016-01-14,ETHOSCOPE_001,3,CS,8,F,OK
2016-01-14,ETHOSCOPE_001,4,CS,8,M,OK
2016-01-14,ETHOSCOPE_001,5,CS,8,F,OK
2016-01-14,ETHOSCOPE_001,6,CS,8,M,OK
2016-01-14,ETHOSCOPE_001,7,CS,8,M,OK
2016-01-14,ETHOSCOPE_001,8,CS,8,M,OK
2016-01-14,ETHOSCOPE_001,9,CS,8,F,OK
2016-01-14,ETHOSCOPE_001,10,CS,8,U,deadpupa
2016-01-14,ETHOSCOPE_001,11,CS,8,F,OK
2016-01-14,ETHOSCOPE_001,12,CS,8,F,OK
2016-01-14,ETHOSCOPE_001,13,CS,8,F,OK
2016-01-14,ETHOSCOPE_001,14,CS,8,M,OK
2016-01-14,ETHOSCOPE_001,15,CS,8,U,deadfly
2016-01-14,ETHOSCOPE_001,16,CS,8,F,OK
2016-01-14,ETHOSCOPE_001,17,CS,8,F,OK
2016-01-14,ETHOSCOPE_001,18,CS,8,F,OK
2016-01-14,ETHOSCOPE_001,19,CS,8,F,OK
2016-01-14,ETHOSCOPE_001,20,CS,8,M,OK
2016-01-14,ETHOSCOPE_002,1,CS,8,M,OK
2016-01-14,ETHOSCOPE_002,2,CS,8,F,OK
2016-01-14,ETHOSCOPE_002,3,CS,8,F,OK
2016-01-14,ETHOSCOPE_002,4,CS,8,F,OK
2016-01-14,ETHOSCOPE_002,5,CS,8,M,OK
2016-01-14,ETHOSCOPE_002,6,CS,8,M,OK
2016-01-14,ETHOSCOPE_002,7,CS,8,M,OK
2016-01-14,ETHOSCOPE_002,8,CS,8,M,OK
2016-01-14,ETHOSCOPE_002,9,CS,8,U,deadpupa
2016-01-14,ETHOSCOPE_002,10,CS,8,F,OK
2016-01-14,ETHOSCOPE_002,11,CS,8,U,deadpupa
2016-01-14,ETHOSCOPE_002,12,CS,8,F,OK
2016-01-14,ETHOSCOPE_002,13,CS,8,F,OK
2016-01-14,ETHOSCOPE_002,14,CS,8,F,OK
2016-01-14,ETHOSCOPE_002,15,CS,8,M,OK
2016-01-14,ETHOSCOPE_002,16,CS,8,U,deadpupa
2016-01-14,ETHOSCOPE_002,17,CS,8,U,deadpupa
2016-01-14,ETHOSCOPE_002,18,CS,8,F,OK
2016-01-14,ETHOSCOPE_002,19,CS,8,F,OK
2016-01-14,ETHOSCOPE_002,20,CS,8,M,OK
2016-01-14,ETHOSCOPE_003,1,CS,8,U,deadpupa
2016-01-14,ETHOSCOPE_003,2,CS,8,F,OK
2016-01-14,ETHOSCOPE_003,3,CS,8,F,OK
2016-01-14,ETHOSCOPE_003,4,CS,8,M,OK
2016-01-14,ETHOSCOPE_003,5,CS,8,F,OK
2016-01-14,ETHOSCOPE_003,6,CS,8,F,OK
2016-01-14,ETHOSCOPE_003,7,CS,8,F,OK
2016-01-14,ETHOSCOPE_003,8,CS,8,M,OK
2016-01-14,ETHOSCOPE_003,9,CS,8,U,deadpupa
2016-01-14,ETHOSCOPE_003,10,CS,8,F,OK
2016-01-14,ETHOSCOPE_003,11,CS,8,M,OK
2016-01-14,ETHOSCOPE_003,12,CS,8,U,deadfly
2016-01-14,ETHOSCOPE_003,13,CS,8,M,OK
2016-01-14,ETHOSCOPE_003,14,CS,8,F,OK
2016-01-14,ETHOSCOPE_003,15,CS,8,F,OK
2016-01-14,ETHOSCOPE_003,16,CS,8,F,OK
2016-01-14,ETHOSCOPE_003,17,CS,8,M,deadfly
2016-01-14,ETHOSCOPE_003,18,CS,8,M,OK
2016-01-14,ETHOSCOPE_003,19,CS,8,F,OK
2016-01-14,ETHOSCOPE_003,20,CS,8,U,deadpupa
2016-01-14,ETHOSCOPE_004,1,CS,8,U,deadpupa
2016-01-14,ETHOSCOPE_004,2,CS,8,F,OK
2016-01-14,ETHOSCOPE_004,3,CS,8,U,deadpupa
2016-01-14,ETHOSCOPE_004,4,CS,8,M,OK
2016-01-14,ETHOSCOPE_004,5,CS,8,M,OK
2016-01-14,ETHOSCOPE_004,6,CS,8,M,OK
2016-01-14,ETHOSCOPE_004,7,CS,8,F,OK
2016-01-14,ETHOSCOPE_004,8,CS,8,F,OK
2016-01-14,ETHOSCOPE_004,9,CS,8,F,OK
2016-01-14,ETHOSCOPE_004,10,CS,8,F,OK
2016-01-14,ETHOSCOPE_004,11,CS,8,F,OK
2016-01-14,ETHOSCOPE_004,12,CS,8,F,OK
2016-01-14,ETHOSCOPE_004,13,CS,8,F,OK
2016-01-14,ETHOSCOPE_004,14,CS,8,F,OK
2016-01-14,ETHOSCOPE_004,15,CS,8,M,OK
2016-01-14,ETHOSCOPE_004,16,CS,8,M,OK
2016-01-14,ETHOSCOPE_004,17,CS,8,F,OK
2016-01-14,ETHOSCOPE_004,18,CS,8,F,OK
2016-01-14,ETHOSCOPE_004,19,CS,8,U,deadfly
2016-01-14,ETHOSCOPE_004,20,CS,8,M,OK
2016-01-14,ETHOSCOPE_007,1,CS,8,U,deadpupa
2016-01-14,ETHOSCOPE_007,2,CS,8,U,deadpupa
2016-01-14,ETHOSCOPE_007,3,CS,8,M,OK
2016-01-14,ETHOSCOPE_007,4,CS,8,F,OK
2016-01-14,ETHOSCOPE_007,5,CS,8,F,OK
2016-01-14,ETHOSCOPE_007,6,CS,8,F,OK
2016-01-14,ETHOSCOPE_007,7,CS,8,U,deadpupa
2016-01-14,ETHOSCOPE_007,8,CS,8,F,OK
2016-01-14,ETHOSCOPE_007,9,CS,8,U,deadpupa
2016-01-14,ETHOSCOPE_007,10,CS,8,F,OK
2016-01-14,ETHOSCOPE_007,11,CS,8,F,OK
2016-01-14,ETHOSCOPE_007,12,CS,8,M,OK
2016-01-14,ETHOSCOPE_007,13,CS,8,F,OK
2016-01-14,ETHOSCOPE_007,14,CS,8,U,deadpupa
2016-01-14,ETHOSCOPE_007,15,CS,8,M,deadfly
2016-01-14,ETHOSCOPE_007,16,CS,8,F,OK
2016-01-14,ETHOSCOPE_007,17,CS,8,F,OK
2016-01-14,ETHOSCOPE_007,18,CS,8,F,OK
2016-01-14,ETHOSCOPE_007,19,CS,8,M,OK
2016-01-14,ETHOSCOPE_007,20,CS,8,F,OK
2016-01-14,ETHOSCOPE_008,1,CS,8,M,deadfly
2016-01-14,ETHOSCOPE_008,2,CS,8,F,OK
2016-01-14,ETHOSCOPE_008,3,CS,8,M,OK
2016-01-14,ETHOSCOPE_008,4,CS,8,U,deadfly
2016-01-14,ETHOSCOPE_008,5,CS,8,M,OK
2016-01-14,ETHOSCOPE_008,6,CS,8,U,deadpupa
2016-01-14,ETHOSCOPE_008,7,CS,8,M,OK
2016-01-14,ETHOSCOPE_008,8,CS,8,M,deadfly
2016-01-14,ETHOSCOPE_008,9,CS,8,M,OK
2016-01-14,ETHOSCOPE_008,10,CS,8,M,OK
2016-01-14,ETHOSCOPE_008,11,CS,8,M,OK
2016-01-14,ETHOSCOPE_008,12,CS,8,M,OK
2016-01-14,ETHOSCOPE_008,13,CS,8,M,OK
2016-01-14,ETHOSCOPE_008,14,CS,8,U,deadpupa
2016-01-14,ETHOSCOPE_008,15,CS,8,M,OK
2016-01-14,ETHOSCOPE_008,16,CS,8,M,OK
2016-01-14,ETHOSCOPE_008,17,CS,8,F,OK
2016-01-14,ETHOSCOPE_008,18,CS,8,F,OK
2016-01-14,ETHOSCOPE_008,19,CS,8,M,OK
2016-01-14,ETHOSCOPE_008,20,CS,8,M,OK
2016-01-14,ETHOSCOPE_006,1,CS,7,F,OK
2016-01-14,ETHOSCOPE_006,2,CS,7,F,OK
2016-01-14,ETHOSCOPE_006,3,CS,7,M,OK
2016-01-14,ETHOSCOPE_006,4,CS,7,F,OK
2016-01-14,ETHOSCOPE_006,5,CS,7,F,OK
2016-01-14,ETHOSCOPE_006,6,CS,7,F,OK
2016-01-14,ETHOSCOPE_006,7,CS,7,F,OK
2016-01-14,ETHOSCOPE_006,8,CS,7,M,OK
2016-01-14,ETHOSCOPE_006,9,CS,7,M,OK
2016-01-14,ETHOSCOPE_006,10,CS,7,U,deadfly
2016-01-14,ETHOSCOPE_006,11,CS,7,M,OK
2016-01-14,ETHOSCOPE_006,12,CS,7,U,deadpupa
2016-01-14,ETHOSCOPE_006,13,CS,7,F,OK
2016-01-14,ETHOSCOPE_006,14,CS,7,M,OK
2016-01-14,ETHOSCOPE_006,15,CS,7,F,OK
2016-01-14,ETHOSCOPE_006,16,CS,7,M,OK
2016-01-14,ETHOSCOPE_006,17,CS,7,M,OK
2016-01-14,ETHOSCOPE_006,18,CS,7,U,deadpupa
2016-01-14,ETHOSCOPE_006,19,CS,7,U,deadpupa
2016-01-14,ETHOSCOPE_006,20,CS,7,U,deadpupa
2016-01-14,ETHOSCOPE_009,1,CS,7,F,OK
2016-01-14,ETHOSCOPE_009,2,CS,7,F,OK
2016-01-14,ETHOSCOPE_009,3,CS,7,M,OK
2016-01-14,ETHOSCOPE_009,4,CS,7,F,OK
2016-01-14,ETHOSCOPE_009,5,CS,7,M,OK
2016-01-14,ETHOSCOPE_009,6,CS,7,F,OK
2016-01-14,ETHOSCOPE_009,7,CS,7,F,OK
2016-01-14,ETHOSCOPE_009,8,CS,7,M,OK
2016-01-14,ETHOSCOPE_009,9,CS,7,F,OK
2016-01-14,ETHOSCOPE_009,10,CS,7,F,OK
2016-01-14,ETHOSCOPE_009,11,CS,7,F,OK
2016-01-14,ETHOSCOPE_009,12,CS,7,F,OK
