date,machine_name,region_id,genotype,incubator,sex,status
2016-01-16,ETHOSCOPE_022,1,CS,4,F,OK
2016-01-16,ETHOSCOPE_022,2,CS,4,F,OK
2016-01-16,ETHOSCOPE_022,3,CS,4,F,OK
2016-01-16,ETHOSCOPE_022,4,CS,4,F,OK
2016-01-16,ETHOSCOPE_022,5,CS,4,F,OK
2016-01-16,ETHOSCOPE_022,6,CS,4,F,OK
2016-01-16,ETHOSCOPE_022,7,CS,4,F,OK
2016-01-16,ETHOSCOPE_022,8,CS,4,F,OK
2016-01-16,ETHOSCOPE_022,9,CS,4,F,OK
2016-01-16,ETHOSCOPE_022,10,CS,4,F,OK
2016-01-16,ETHOSCOPE_022,11,CS,4,F,OK
2016-01-16,ETHOSCOPE_022,12,CS,4,M,OK
2016-01-16,ETHOSCOPE_022,13,CS,4,F,OK
2016-01-16,ETHOSCOPE_022,14,CS,4,F,OK
2016-01-16,ETHOSCOPE_022,15,CS,4,M,OK
2016-01-16,ETHOSCOPE_022,16,CS,4,M,OK
2016-01-16,ETHOSCOPE_022,17,CS,4,F,OK
2016-01-16,ETHOSCOPE_022,18,CS,4,F,OK
2016-01-16,ETHOSCOPE_022,19,CS,4,M,OK
2016-01-16,ETHOSCOPE_022,20,CS,4,F,OK
